ID,Tempat Wisata,Tahun,Wisnus,Wisman
494,Taman Edelweis,2023,13649,22305
495,Taman Edelweis,2024,6578,72
496,Lempuyang,2020,0,0
497,Lempuyang,2021,17976,2168
498,Lempuyang,2022,46246,166508
499,Lempuyang,2023,29256,369281
500,Lempuyang,2024,13250,217047
501,Bukit Cemara,2020,0,0
502,Bukit Cemara,2021,608,32
503,Bukit Cemara,2022,512,0
504,Bukit Cemara,2023,416,720
505,Bukit Cemara,2024,529,85
506,Dukuh Penaban ,2020,0,0
507,Dukuh Penaban ,2021,0,0
508,Dukuh Penaban ,2022,2300,208
509,Dukuh Penaban ,2023,7422,525
510,Dukuh Penaban ,2024,1629,548
511,Maha Gangga ,2020,0,0
512,Maha Gangga ,2021,0,0
513,Maha Gangga ,2022,2301,2556
514,Maha Gangga ,2023,3775,5645
515,Maha Gangga ,2024,3239,5350
516,Amed,2020,0,0
517,Amed,2021,0,0
518,Amed,2022,0,0
519,Amed,2023,0,967
520,Amed,2024,10,11855
521,Kubu,2020,0,0
522,Kubu,2021,0,0
523,Kubu,2022,0,0
524,Kubu,2023,0,836
525,Kubu,2024,0,0
526,Penaban,2020,0,0
527,Penaban,2021,0,0
528,Penaban,2022,0,0
529,Penaban,2023,525,0
530,Penaban,2024,12374,492
531,taman soekasada ujung ,2020,0,0
532,taman soekasada ujung ,2021,0,0
533,taman soekasada ujung ,2022,0,0
534,taman soekasada ujung ,2023,68161,94589
535,taman soekasada ujung ,2024,52266,91514
536,Pulaki,2020,5091,10975
537,Pulaki,2021,9211,0
538,Pulaki,2022,46272,1932
539,Pulaki,2023,45523,5292
540,Pulaki,2024,96684,6260
541,"Lovina, Kalibukbuk",2020,3696,5579
542,"Lovina, Kalibukbuk",2021,0,0
543,"Lovina, Kalibukbuk",2022,0,0
544,"Lovina, Kalibukbuk",2023,0,0
545,"Lovina, Kalibukbuk",2024,0,0
546,Air Panas Banjar,2020,10671,7981
547,Air Panas Banjar,2021,6159,0
548,Air Panas Banjar,2022,18597,7426
549,Air Panas Banjar,2023,45360,18316
550,Air Panas Banjar,2024,41023,49728
551,Air Sanih,2020,12693,275
552,Air Sanih,2021,0,0
553,Air Sanih,2022,18313,7296
554,Air Sanih,2023,58224,805
555,Air Sanih,2024,73701,857
556,Air Terjun Gitgit,2020,1195,1170
557,Air Terjun Gitgit,2021,21,17
558,Air Terjun Gitgit,2022,264,639
559,Air Terjun Gitgit,2023,135,3789
560,Air Terjun Gitgit,2024,1056,3491
561,Makam Jaya Prana,2020,2769,7914
562,Makam Jaya Prana,2021,0,0
563,Makam Jaya Prana,2022,22253,126
564,Makam Jaya Prana,2023,0,0
565,Makam Jaya Prana,2024,0,0
566,Air Panas Banyuwedang,2020,1130,1138
567,Air Panas Banyuwedang,2021,1496,66
568,Air Panas Banyuwedang,2022,9815,538
569,Air Panas Banyuwedang,2023,8431,2648
570,Air Panas Banyuwedang,2024,25104,1913
571,Taman Nasional Bali Barat,2020,0,0
572,Taman Nasional Bali Barat,2021,4033,137
573,Taman Nasional Bali Barat,2022,2609,206
574,Taman Nasional Bali Barat,2023,17755,19252
575,Taman Nasional Bali Barat,2024,25204,18976
576,Pura Madue Karang,2020,0,1022
577,Pura Madue Karang,2021,245,0
578,Pura Madue Karang,2022,206,1780
579,Pura Madue Karang,2023,1126,3828
580,Pura Madue Karang,2024,1153,4876
581,Pura Beji,2020,0,764
582,Pura Beji,2021,150,0
